src/modules/playback/audio/components/AlbumArtBackground.tsx(4,24): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/audio/components/AudioResumeOverlay.tsx(5,30): error TS2307: Cannot find module '../../../utils/timeAgo' or its corresponding type declarations.
src/modules/playback/audio/components/AudioTrackInfo.tsx(3,23): error TS2307: Cannot find module '../../../components/core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/components/AudioTrackInfo.tsx(4,27): error TS2307: Cannot find module '../../../services/fileService' or its corresponding type declarations.
src/modules/playback/audio/components/AudioTrackInfo.tsx(5,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/components/AudioTransportControls.tsx(3,23): error TS2307: Cannot find module '../../../components/utility/SvgIcon' or its corresponding type declarations.
src/modules/playback/audio/components/AudioTransportControls.tsx(4,23): error TS2307: Cannot find module '../../../components/core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/components/AudioTransportControls.tsx(5,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/components/AudioVolumeControl.tsx(3,23): error TS2307: Cannot find module '../../../components/core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/components/AudioVolumeControl.tsx(4,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/components/LyricsQueuePanel.tsx(9,23): error TS2307: Cannot find module '../../../components/core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/components/LyricsQueuePanel.tsx(10,24): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/audio/components/LyricsQueuePanel.tsx(11,23): error TS2307: Cannot find module '../../../utils/lrcParser' or its corresponding type declarations.
src/modules/playback/audio/components/LyricsQueuePanel.tsx(12,32): error TS2307: Cannot find module '../../../hooks/useAccessibility' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioActionRow.tsx(3,23): error TS2307: Cannot find module '../../utility/SvgIcon' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioActionRow.tsx(4,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioActionRow.tsx(5,31): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioActionRow.tsx(6,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioActionRow.tsx(7,32): error TS2307: Cannot find module '../../../types/media' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioActionRow.tsx(8,28): error TS2307: Cannot find module '../../../services/shareService' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioAlbumArt.tsx(4,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioAlbumArt.tsx(5,24): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioGradientBg.tsx(4,24): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(11,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(12,27): error TS2307: Cannot find module '../../../constants/fontFamily' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(13,27): error TS2307: Cannot find module '../../feedback/ActivityOrb/ActivityOrb' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(14,35): error TS2307: Cannot find module '../../feedback/PlayerErrorFallback' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(15,28): error TS2307: Cannot find module '../BufferingBar/BufferingBar' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(16,29): error TS2307: Cannot find module '../../player/AudioVisualizer/AudioVisualizer' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(17,29): error TS2307: Cannot find module '../../player/AudioLyricsView/AudioLyricsView' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(18,23): error TS2307: Cannot find module '../../utility/SvgIcon' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(19,30): error TS2307: Cannot find module '../../../screens/AudioPlayer/components/LyricsQueuePanel' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(20,33): error TS2307: Cannot find module '../../../screens/AudioPlayer/components/AudioPlayerHeader' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(21,30): error TS2307: Cannot find module '../../../screens/AudioPlayer/components/AudioTrackInfo' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(22,38): error TS2307: Cannot find module '../../../screens/AudioPlayer/components/AudioTransportControls' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(30,25): error TS2307: Cannot find module '../NowPlayingInfo/InfoSheet' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(31,28): error TS2307: Cannot find module '../NowPlayingInfo/ChapterList' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(32,34): error TS2307: Cannot find module '../../../screens/AudioPlayer/components/AudioResumeOverlay' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(33,36): error TS2307: Cannot find module '../PlaylistPreview/PlaylistPreviewSheet' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(34,26): error TS2307: Cannot find module '../../sheets/QueueSheet/QueueSheet' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(35,29): error TS2307: Cannot find module '../../sheets/PlaylistSheet' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(36,29): error TS2307: Cannot find module '../../bookmark/BookmarkSheet' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(37,47): error TS2307: Cannot find module '../../../contexts/TransportContext' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(38,25): error TS2307: Cannot find module '../../../native' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(39,24): error TS2307: Cannot find module '../../../navigation/navigationHelper' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(40,57): error TS2307: Cannot find module '../../../utils/sleepTimer' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(41,34): error TS2307: Cannot find module '../../../services/metadataService' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(42,28): error TS2307: Cannot find module '../../../utils/lrcParser' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(43,34): error TS2307: Cannot find module '../../../store/slices/playerSlice' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(44,33): error TS2307: Cannot find module '../../../store/slices/mediaSlice' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(45,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(46,32): error TS2307: Cannot find module '../../../types/media' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioPlayer.tsx(457,18): error TS7006: Parameter 'time' implicitly has an 'any' type.
src/modules/playback/audio/ui/AudioQueuePeek.tsx(3,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioQueuePeek.tsx(4,23): error TS2307: Cannot find module '../../utility/SvgIcon' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioQueuePeek.tsx(5,34): error TS2307: Cannot find module '../../../store/slices/playerSlice' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioQueuePeek.tsx(6,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSeekBar.tsx(10,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSeekBar.tsx(11,24): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSeekBar.tsx(12,23): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(13,23): error TS2307: Cannot find module '../../utility/SvgIcon' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(14,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(15,28): error TS2307: Cannot find module '../../core/AppTextInput/AppTextInput' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(16,31): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(17,32): error TS2307: Cannot find module '../../../theme/tokens' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(18,34): error TS2307: Cannot find module '../../../services/metadataService' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(19,24): error TS2307: Cannot find module '../../../navigation/navigationHelper' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(20,46): error TS2307: Cannot find module '../../../store' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(21,66): error TS2307: Cannot find module '../../../store/slices/playerSlice' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(22,25): error TS2307: Cannot find module '../../../native' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(23,35): error TS2307: Cannot find module '../../../utils/sleepTimer' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(24,28): error TS2307: Cannot find module '../../../services/shareService' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioSubMenu.tsx(344,40): error TS7006: Parameter 'state' implicitly has an 'any' type.
src/modules/playback/audio/ui/AudioSubMenu.tsx(345,44): error TS7006: Parameter 'state' implicitly has an 'any' type.
src/modules/playback/audio/ui/AudioSubMenu.tsx(346,41): error TS7006: Parameter 'state' implicitly has an 'any' type.
src/modules/playback/audio/ui/AudioVolumeSlider.tsx(10,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/audio/ui/AudioVolumeSlider.tsx(11,24): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(10,23): error TS2307: Cannot find module '../../core/AppText/AppText' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(11,47): error TS2307: Cannot find module '../../../contexts/TransportContext' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(12,30): error TS2307: Cannot find module '../../StatusBar' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(13,27): error TS2307: Cannot find module '../../sheets/BottomSheet/BottomSheet' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(14,30): error TS2307: Cannot find module '../ChapterBrowser/ChapterBrowser' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(15,31): error TS2307: Cannot find module '../SleepTimerSheet/SleepTimerSheet' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(16,25): error TS2307: Cannot find module '../NowPlayingInfo/InfoSheet' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(17,29): error TS2307: Cannot find module '../../sheets/PlaylistSheet' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(18,26): error TS2307: Cannot find module '../../sheets/QueueSheet/QueueSheet' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(19,28): error TS2307: Cannot find module '../ReplayButton/ReplayButton' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(20,40): error TS2307: Cannot find module '../../../screens/VideoPlayer/components/VideoPlayerResumeOverlay' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(21,42): error TS2307: Cannot find module '../../../screens/VideoPlayer/components/VideoPlayerAutoAdvanceCard' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(22,25): error TS2307: Cannot find module '../../../native' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(23,24): error TS2307: Cannot find module '../../../navigation/navigationHelper' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(24,46): error TS2307: Cannot find module '../../../store' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(25,48): error TS2307: Cannot find module '../../../store/slices/playerSlice' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(26,57): error TS2307: Cannot find module '../../../utils/sleepTimer' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(27,33): error TS2307: Cannot find module '../../../store/slices/mediaSlice' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(28,34): error TS2307: Cannot find module '../../../store/slices/playerSlice' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(29,31): error TS2307: Cannot find module '../../../native' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(52,36): error TS2307: Cannot find module '../../../theme' or its corresponding type declarations.
src/modules/playback/video/ui/VideoPlayer.tsx(349,44): error TS7006: Parameter 'state' implicitly has an 'any' type.
src/modules/playback/video/ui/VideoPlayer.tsx(671,28): error TS7006: Parameter 'minutes' implicitly has an 'any' type.
src/modules/playback/video/ui/VideoPlayer.tsx(672,25): error TS7006: Parameter 'mode' implicitly has an 'any' type.
src/modules/playback/video/ui/VideoPlayer.tsx(740,22): error TS7006: Parameter 'idx' implicitly has an 'any' type.
src/modules/playback/video/ui/VideoPlayer.tsx(741,24): error TS7006: Parameter 'idx' implicitly has an 'any' type.
